_id,annee,cumul_periode,rss,region,nom_etablissement,nom_installation,no_permis_installation,nb_visites_total,nb_usagers_75ans_et_plus_total,nb_usagers_sante_mentale_total,dms_total,nb_usagers_pec_total,delai_pec_total,nb_visites_ambulatoire,nb_usagers_75ans_et_plus_amb,nb_usagers_sante_mentale_amb,dms_ambulatoire,nb_usagers_pec_ambulatoire,delai_pec_ambulatoire,nb_visites_sur_civiere,nb_usagers_sur_civiere_plus_24h,nb_usagers_sur_civiere_plus_48h,dms_sur_civiere,nb_usagers_pec_sur_civiere,delai_pec_sur_civiere,nb_usagers_75ans_et_plus_civ,nb_usagers_sante_mentale_civ
68,2026-2027,4,03,Capitale-Nationale,Total régional,Total régional,,130081,24607,7052,7.2819328363,105463,2.0806938268,85839,10060,2608,3.9063920764,61617,2.5527024468,44242,6755,802,13.83120826,43846,1.4173777856,14547,4444
69,2026-2027,4,12,Chaudière-Appalaches,Total régional,Total régional,,76809,14427,3473,6.9125638416,66074,2.0566811244,58592,7337,1718,3.8303368871,47895,2.4342763684,18217,4098,1077,16.826042555,18179,1.0618560946,7090,1755
70,2026-2027,4,09,Côte-Nord,Total régional,Total régional,,31050,4120,1852,7.5363938719,25423,3.1523323806,24107,2368,1126,4.723268979,18632,3.3857963003,6943,1521,661,17.303929777,6791,2.5117934685,1752,726
71,2026-2027,4,05,Estrie,Total régional,Total régional,,79090,14274,3903,8.0807897086,63456,3.2428972919,53140,5779,1465,5.2623010549,37648,4.0849674618,25950,4070,496,13.852446243,25808,2.0145085073,8495,2438
72,2026-2027,4,11,Gaspésie-Îles-de-la-Madeleine,Total régional,Total régional,,30999,5818,1206,5.5535025682,27068,1.9268729681,24824,3741,774,3.5589682588,20974,2.0901576423,6175,1057,236,13.571691993,6094,1.3648885972,2077,432
73,2026-2027,4,14,Lanaudière,Total régional,Total régional,,52189,10534,3182,9.7950004205,37385,3.435693237,35305,3844,1595,5.6903574565,20576,4.2981785413,16884,5210,550,18.377944027,16809,2.3799196859,6690,1587
74,2026-2027,4,15,Laurentides,Total régional,Total régional,,68098,13457,4454,11.345861552,50678,3.7359326916,44066,5131,1420,5.9520317188,26875,4.7000836899,24032,7748,2189,21.236195501,23803,2.6473489803,8326,3034
75,2026-2027,4,13,Laval,Total régional,Total régional,,28958,6197,1984,11.513263069,22290,3.88072788,17338,1934,378,6.0792010164,10749,4.8376805594,11620,3619,489,19.621332592,11541,2.9894459848,4263,1606
76,2026-2027,4,06,Montréal,Total régional,Total régional,,243362,37710,17792,10.748008676,200222,2.5666856456,144738,10585,5691,5.3929034781,102620,3.2710046396,98624,23167,6916,18.607020846,97602,1.8261555831,27125,12101
77,2026-2027,4,16,Montérégie,Total régional,Total régional,,125832,25429,8174,10.839016511,90284,4.2128731897,77728,8824,2743,5.738499118,42607,4.9353141633,48104,12952,3253,19.080597583,47677,3.5672570107,16605,5431
78,2026-2027,4,10,Nord-du-Québec,Total régional,Total régional,,7760,851,596,3.604422573,7297,0.8749405768,6643,674,386,2.2157158329,6207,0.8520325618,1117,105,21,11.863311449,1090,1.0053901631,177,210
79,2026-2027,4,07,Outaouais,Total régional,Total régional,,52424,8099,2866,10.05617584,38392,4.587328205,37008,3639,1058,5.7597032624,23743,4.2373136878,15416,4405,1378,20.370385566,14649,5.1546293642,4460,1808
80,2026-2027,4,02,Saguenay-Lac-Saint-Jean,Total régional,Total régional,,59087,10590,2904,6.4002231408,49699,2.9011377716,40956,4964,1248,4.3089399532,31874,3.282629625,18131,1506,71,11.124209365,17825,2.2189682718,5626,1656
81,2022-2023,4,01,Bas-Saint-Laurent,SANTÉ QUÉBEC BAS-SAINT-LAURENT,Total établissement,,42005,6475,1428,4.2091247801,36084,1.839392467,31818,3105,891,3.0417297512,26043,2.011791279,10187,256,15,7.8553577272,10041,1.3922475351,3370,537
82,2022-2023,4,02,Saguenay-Lac-Saint-Jean,SANTÉ QUÉBEC SAGUENAY - LAC-SAINT-JEAN - UNIVERSITAIRE,Total établissement,,55050,8212,2670,6.2352875971,46379,2.6366863355,38653,3376,1020,3.7923243776,30249,2.9486572283,16397,1915,309,11.994137224,16130,2.0516393711,4836,1650
83,2022-2023,4,03,Capitale-Nationale,SANTÉ QUÉBEC - CENTRE HOSPITALIER UNIVERSITAIRE DE QUÉBEC - UNIVERSITÉ LAVAL,Total établissement,,70514,11452,5342,9.0308923484,58108,1.9623070642,42174,3580,1694,4.2090974297,29851,2.6324928162,28340,5813,1506,16.206417363,28257,1.2543155973,7872,3648
