_id,annee,cumul_periode,rss,region,nom_etablissement,nom_installation,no_permis_installation,nb_visites_total,nb_usagers_75ans_et_plus_total,nb_usagers_sante_mentale_total,dms_total,nb_usagers_pec_total,delai_pec_total,nb_visites_ambulatoire,nb_usagers_75ans_et_plus_amb,nb_usagers_sante_mentale_amb,dms_ambulatoire,nb_usagers_pec_ambulatoire,delai_pec_ambulatoire,nb_visites_sur_civiere,nb_usagers_sur_civiere_plus_24h,nb_usagers_sur_civiere_plus_48h,dms_sur_civiere,nb_usagers_pec_sur_civiere,delai_pec_sur_civiere,nb_usagers_75ans_et_plus_civ,nb_usagers_sante_mentale_civ
352,2023-2024,5,03,Capitale-Nationale,SANTÉ QUÉBEC - CENTRE HOSPITALIER UNIVERSITAIRE DE QUÉBEC - UNIVERSITÉ LAVAL,HÔPITAL SAINT-FRANÇOIS D'ASSISE,51217602,15658,3833,522,9.8288147876,12730,2.1925030549,9458,1119,256,4.4051593595,6543,2.9351909165,6200,1739,229,18.102513665,6187,1.4070809313,2714,266
353,2023-2024,5,03,Capitale-Nationale,SANTÉ QUÉBEC - CENTRE HOSPITALIER UNIVERSITAIRE DE QUÉBEC - UNIVERSITÉ LAVAL,L'HÔTEL-DIEU DE QUÉBEC,51217586,7841,1796,395,7.250857317,7087,1.4912811799,4051,435,125,3.0792342083,3337,1.6943366464,3790,338,6,11.709761067,3750,1.3105888889,1361,270
354,2023-2024,5,03,Capitale-Nationale,SANTÉ QUÉBEC - INSTITUT UNIVERSITAIRE DE CARDIOLOGIE ET DE PNEUMOLOGIE DE QUÉBEC - UNIVERSITÉ LAVAL,INSTITUT UNIVERSITAIRE DE CARDIOLOGIE ET DE PNEUMOLOGIE DE QUÉBEC,51232130,10651,3594,259,7.8634927341,10077,1.955212227,5562,1289,153,3.9679237085,5002,2.5066889911,5089,526,2,12.121137639,5075,1.411668035,2305,106
355,2023-2024,5,03,Capitale-Nationale,SANTÉ QUÉBEC CAPITALE-NATIONALE - UNIVERSITAIRE,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX CHAUVEAU,51225001,14681,1085,185,2.9016692021,9995,1.915033489,12880,859,128,2.7072125604,8221,2.0921867778,1801,0,0,4.2923419088,1774,1.0940767882,226,57
356,2023-2024,5,03,Capitale-Nationale,SANTÉ QUÉBEC CAPITALE-NATIONALE - UNIVERSITAIRE,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE BAIE-SAINT-PAUL,51244804,4694,881,143,5.4067208138,3647,1.9968547969,3816,575,63,3.0454159387,2777,2.1960738007,878,155,45,15.669521956,870,1.3609568966,306,80
357,2023-2024,5,03,Capitale-Nationale,SANTÉ QUÉBEC CAPITALE-NATIONALE - UNIVERSITAIRE,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE SAINT-MARC-DES-CARRIÈRES,51247344,6233,851,153,2.9493717133,5259,1.4869026114,5005,463,96,2.2885592741,4059,1.694926843,1228,11,2,5.6426667119,1200,0.7832606481,388,57
358,2023-2024,5,03,Capitale-Nationale,SANTÉ QUÉBEC CAPITALE-NATIONALE - UNIVERSITAIRE,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE SAINT-RAYMOND,51247302,7520,1070,135,4.0602555038,6163,1.9667169218,6118,602,82,3.1278294468,4775,2.2108420012,1402,45,3,8.1291446743,1388,1.1268774015,468,53
359,2023-2024,5,03,Capitale-Nationale,SANTÉ QUÉBEC CAPITALE-NATIONALE - UNIVERSITAIRE,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE SAINTE-ANNE-DE-BEAUPRÉ,51225357,5864,674,90,3.9056393057,4469,1.9266692772,5031,398,63,3.0515131187,3650,2.0859669711,833,44,5,9.06423336,819,1.2167345001,276,27
360,2023-2024,5,03,Capitale-Nationale,SANTÉ QUÉBEC CAPITALE-NATIONALE - UNIVERSITAIRE,HÔPITAL ET CLSC DE LA MALBAIE,51228690,5356,962,160,5.7274289997,4409,1.7171519115,4295,611,94,3.2402077998,3349,1.9618124813,1061,203,55,15.795869201,1060,0.9441629979,351,66
361,2023-2024,5,04,Mauricie et Centre-du-Québec,SANTÉ QUÉBEC MAURICIE-ET-CENTRE-DU-QUÉBEC - UNIVERSITAIRE,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX AVELLIN-DALCOURT,51233583,7925,1164,184,4.5708876621,6440,2.79605245,6765,686,119,3.7758635132,5295,3.0619239849,1160,47,2,9.2073862548,1145,1.5665417273,478,65
362,2023-2024,5,04,Mauricie et Centre-du-Québec,SANTÉ QUÉBEC MAURICIE-ET-CENTRE-DU-QUÉBEC - UNIVERSITAIRE,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX CHRIST-ROI,51246338,7915,853,211,4.8649898224,6337,3.1830810671,6530,404,162,3.9227688446,4987,3.4183630216,1385,75,11,9.307374649,1350,2.3139320988,449,49
363,2023-2024,5,04,Mauricie et Centre-du-Québec,SANTÉ QUÉBEC MAURICIE-ET-CENTRE-DU-QUÉBEC - UNIVERSITAIRE,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE FORTIERVILLE,51219160,4333,415,85,2.3741121112,3450,1.9553647343,4074,377,77,2.3041083702,3194,2.0201949836,259,1,0,3.4752520378,256,1.1465060764,38,8
364,2023-2024,5,04,Mauricie et Centre-du-Québec,SANTÉ QUÉBEC MAURICIE-ET-CENTRE-DU-QUÉBEC - UNIVERSITAIRE,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DU HAUT-SAINT-MAURICE,51219731,4397,683,214,5.9691336265,3787,2.794298844,3279,392,92,4.0180504727,2692,3.0173126135,1118,104,4,11.691496472,1095,2.2460312024,291,122
365,2023-2024,5,04,Mauricie et Centre-du-Québec,SANTÉ QUÉBEC MAURICIE-ET-CENTRE-DU-QUÉBEC - UNIVERSITAIRE,HÔPITAL DU CENTRE-DE-LA-MAURICIE,51220051,12885,2524,844,7.9698981374,10233,3.1288859843,8101,839,183,5.0286907309,5475,4.3426917808,4784,614,56,12.95040006,4758,1.7321674607,1685,661
366,2023-2024,5,04,Mauricie et Centre-du-Québec,SANTÉ QUÉBEC MAURICIE-ET-CENTRE-DU-QUÉBEC - UNIVERSITAIRE,HÔPITAL SAINTE-CROIX,51228781,14957,2322,895,7.9831186438,11150,3.1670122073,8763,649,205,5.1898954886,5155,4.0694554909,6194,738,23,11.934848464,5995,2.3910163562,1673,690
367,2023-2024,5,04,Mauricie et Centre-du-Québec,SANTÉ QUÉBEC MAURICIE-ET-CENTRE-DU-QUÉBEC - UNIVERSITAIRE,HÔTEL-DIEU D'ARTHABASKA,51228039,14228,2502,723,5.717525107,11760,2.1750793651,8638,813,173,3.7552740153,6262,2.7270436318,5590,258,3,8.7497120354,5498,1.5464143527,1689,550
368,2023-2024,5,04,Mauricie et Centre-du-Québec,SANTÉ QUÉBEC MAURICIE-ET-CENTRE-DU-QUÉBEC - UNIVERSITAIRE,PAVILLON SAINTE-MARIE,51220168,21925,4946,1255,9.9267175345,16834,3.2116964015,11780,1169,338,5.1468093284,6807,4.6457402919,10145,2216,144,15.47697073,10027,2.2381712432,3777,917
369,2023-2024,5,05,Estrie,SANTÉ QUÉBEC ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA MRC DE COATICOOK,51247617,7142,642,198,2.7635719064,5774,1.9475238618,5708,410,144,2.5668574321,4362,2.1254069234,1434,0,0,3.5465887959,1412,1.398001259,232,54
